,index,Movie,P_Genre,S_Genre,T_Genre,Cluster_Id
258,278,the haunting of hill house,3,8,8,20
259,279,hocus pocus 2,2,6,12,1
260,280,hereditary,3,8,8,20
261,282,spree,10,2,16,293
262,283,the mortal instruments: city of bones,10,1,12,0
263,287,it chapter two,3,9,13,4
264,288,the conjuring,8,0,7,40
265,289,locke &amp; key,3,9,13,4
266,290,scream 6,8,0,7,40
267,292,hannibal,11,5,13,19
268,293,us,8,0,7,40
269,294,the originals,3,9,13,4
270,295,fear street: 1994,3,8,8,20
271,297,in the dark,10,14,13,148
272,299,the vvitch: a new-england folktale,3,9,13,4
273,303,fear street: 1978,3,8,8,20
274,304,the shallows,10,5,13,2
275,305,beast,1,5,13,126
276,306,grimm,11,5,12,75
277,307,sinister,8,0,7,40
278,308,the cabin in the woods,8,0,7,40
279,313,hocus pocus,2,6,12,1
280,316,the mummy,10,1,12,0
281,317,sweeney todd: the demon barber of fleet street,3,8,19,282
282,318,mother!,3,8,8,20
283,320,chilling adventures of sabrina,3,9,13,4
284,322,the owl house,4,13,17,38
285,324,the hunt,10,8,7,77
286,325,the lighthouse,3,9,13,4
287,326,lamb,3,9,13,4
288,328,firestarter,3,8,11,48
289,329,interview with the vampire: the vampire chronicles,3,9,13,4
290,330,resurrection,11,5,13,19
291,331,the empty man,8,0,7,40
292,332,it,3,8,8,20
293,333,suspiria,3,9,13,4
294,334,jojo no kimyô-na bôken,4,13,17,38
295,335,bone tomahawk,3,8,18,239
296,336,servant,3,8,8,20
297,337,ready or not,10,2,13,151
298,338,from dusk till dawn,10,14,13,148
299,339,psycho,8,0,7,40
300,340,texas chainsaw massacre,11,8,7,51
