,index,Movie,P_Genre,S_Genre,T_Genre,Cluster_Id
517,772,pirates of the caribbean: dead men tell no tales,10,1,12,0
518,774,naruto,4,13,17,38
519,776,shazam! fury of the gods,10,1,0,149
520,778,sen to chihiro no kamikakushi,4,1,3,33
521,781,death note: desu nôto,4,14,1,111
522,783,roald dahl's matilda the musical,2,5,3,103
523,784,the little mermaid,1,6,12,52
524,785,mine,3,9,7,120
525,787,a discovery of witches,3,9,14,384
526,788,harry potter and the goblet of fire,1,6,12,52
527,789,big trouble in little china,10,1,0,149
528,793,fantastic beasts and where to find them,1,6,12,52
529,794,the green knight,1,5,12,56
530,795,toy story,4,1,0,30
531,797,carnival row,11,5,12,75
532,800,aladdin,1,2,3,34
533,801,angel,10,5,12,249
534,802,ratatouille,4,1,0,30
535,803,the neverending story,1,5,3,174
536,805,the age of adaline,3,9,14,384
537,806,merlin,1,5,12,56
538,808,jujutsu kaisen,4,13,17,38
539,809,jungle cruise,10,1,0,149
540,812,the curious case of benjamin button,3,9,14,384
541,815,the legend of vox machina,4,13,17,38
542,817,the mask,10,2,16,293
543,818,harry potter and the deathly hallows: part 1,1,6,12,52
544,819,legend,1,9,14,65
545,821,wonder woman 1984,10,1,12,0
546,822,harry potter and the chamber of secrets,1,6,12,52
547,823,reign of fire,10,1,12,0
548,824,harry potter and the deathly hallows: part 2,1,9,8,105
549,825,wonder woman,10,1,12,0
550,826,hagane no renkinjutsushi,4,13,17,38
551,827,heroes,3,9,11,86
552,828,shadowhunters: the mortal instruments,10,5,12,249
553,830,meet joe black,3,9,14,384
554,831,charlie and the chocolate factory,1,2,3,34
555,832,one punch man: wanpanman,4,13,0,39
556,833,luca,4,1,0,30
557,834,beauty and the beast,1,6,12,52
558,835,edward scissorhands,3,9,14,384
559,838,willow,10,1,1,328
560,839,matilda,2,6,12,1
561,840,three thousand years of longing,3,9,14,384
562,841,pirates of the caribbean: dead man's chest,10,1,12,0
563,842,disenchanted,4,1,0,30
564,843,jumanji: the next level,10,1,0,149
565,844,the wizard of oz,1,6,12,52
566,845,frozen,4,1,0,30
567,846,the twilight saga: breaking dawn - part 2,1,5,12,56
568,847,aquaman and the lost kingdom,10,1,12,0
569,848,clash of the titans,10,1,3,83
570,849,underworld,10,9,7,109
571,850,harry potter and the prisoner of azkaban,1,6,12,52
572,852,stargirl,10,1,16,420
573,853,scott pilgrim vs. the world,10,2,12,7
574,855,kong: skull island,10,1,12,0
575,856,american gods,3,9,8,85
576,857,power rangers,10,1,12,0
577,858,hancock,10,5,12,249
578,859,pirates of the caribbean: on stranger tides,10,1,12,0
579,860,hauru no ugoku shiro,4,1,3,33
580,861,dragon ball z,4,13,17,38
581,862,the magicians,3,9,8,85
582,864,jumanji: welcome to the jungle,10,1,0,149
583,865,batman returns,10,14,12,132
584,866,bleach: burîchi,4,13,17,38
585,867,shazam!,10,1,0,149
586,869,"the chronicles of narnia: the lion, the witch and the wardrobe",1,6,12,52
587,870,regular show,4,13,17,38
588,871,tomb raider,10,1,12,0
589,873,strange world,4,13,17,38
590,874,jaadugar,2,5,12,279
591,875,raya and the last dragon,4,13,17,38
592,876,fate: the winx saga,10,1,1,328
593,877,kimi no na wa.,4,5,12,82
594,878,"monsters, inc.",4,1,0,30
595,879,jumanji,1,2,3,34
596,880,the outsider,11,5,12,75
597,881,black clover,4,13,17,38
598,882,bewitched,2,6,12,1
599,883,valerian and the city of a thousand planets,10,1,12,0
600,885,shrek,4,1,0,30
601,887,inside out,4,1,0,30
602,888,hercules,4,1,0,30
603,892,black bird,11,5,7,203
604,893,only murders in the building,2,14,1,11
605,896,where the crawdads sing,3,0,7,124
606,897,breaking bad,11,5,7,203
607,900,dark winds,11,5,7,203
608,905,ozark,11,5,7,203
609,913,under the banner of heaven,11,5,8,71
610,915,criminal minds,11,5,8,71
611,917,the lincoln lawyer,11,5,8,71
612,920,law &amp; order: special victims unit,11,5,8,71
613,922,the staircase,0,14,1,99
614,923,the wire,11,5,7,203
615,924,the blacklist,11,5,8,71
616,927,true detective,11,5,8,71
617,934,capitani,11,5,8,71
618,939,fargo,11,5,7,203
619,945,blue bloods,11,5,8,71
620,948,mcdonald &amp; dodds,2,14,8,245
621,950,sons of anarchy,11,5,7,203
622,953,the talented mr. ripley,11,5,7,203
623,955,the flight attendant,2,5,8,72
624,958,the mentalist,11,5,8,71
625,959,law &amp; order,11,5,8,71
626,960,se7en,11,5,8,71
627,963,mr. robot,11,5,7,203
628,965,dexter,11,5,8,71
629,968,sherlock,11,5,8,71
630,969,killers of the flower moon,11,5,15,127
631,970,fifty shades of grey,3,10,7,8
632,971,death in paradise,2,14,1,11
633,973,you,11,5,14,128
634,975,deep water,3,0,7,124
635,979,pretty little liars,3,0,14,214
636,981,terror on the prairie,3,12,18,92
637,982,chernobyl,3,11,7,96
638,984,big sky,11,5,8,71
639,987,mindhunter,11,5,8,71
640,988,csi: crime scene investigation,11,5,8,71
641,990,outer range,3,0,7,124
642,991,gisaengchung,2,5,7,16
643,999,the outlaws,2,14,1,11
644,1002,candy,0,14,1,99
645,1004,pieces of her,11,5,8,71
646,1006,nightmare alley,11,5,7,203
647,1007,knives out,2,14,1,11
648,1008,tokyo vice,11,5,7,203
649,1009,the departed,11,5,7,203
650,1010,the sinner,11,5,8,71
651,1014,blow-up,3,0,7,124
652,1015,the silence of the lambs,11,5,7,203
653,1019,zero dark thirty,3,11,7,96
654,1021,narcos,0,14,1,99
655,1022,deliverance,1,5,7,119
656,1023,joker,11,5,7,203
657,1025,the outfit,11,5,8,71
658,1026,homeland,11,5,8,71
659,1027,mayans m.c.,11,5,7,203
660,1029,poirot,11,5,8,71
661,1030,columbo,11,5,8,71
662,1031,vengeance,2,0,7,113
663,1037,gone girl,3,0,7,124
664,1047,king of stonks,2,5,7,16
665,1049,trom,11,5,7,203
666,1054,leverage: redemption,11,0,7,98
667,1055,line of duty,11,5,8,71
668,1056,how to get away with murder,11,5,8,71
669,1057,the americans,11,5,8,71
670,1058,the usual suspects,11,5,8,71
671,1061,prisoners,11,5,8,71
672,1068,no country for old men,11,5,7,203
673,1073,élite,11,5,7,203
674,1075,a call to spy,0,14,1,99
675,1076,eyes wide shut,3,0,7,124
676,1078,mayor of kingstown,11,5,7,203
677,1082,pretty little liars: original sin,3,0,14,214
678,1085,mystery road: origin,11,5,8,71
679,1088,13 reasons why,3,0,7,124
680,1093,the card counter,11,5,7,203
681,1096,taboo,3,0,7,124
682,1097,the guilty,11,5,7,203
683,1099,the voyeurs,3,0,7,124
684,1108,point break,10,14,7,206
685,1109,witness,3,10,7,8
686,1110,mission: impossible - dead reckoning - part one,10,1,7,104
687,1111,dunkirk,10,5,15,27
688,1117,girl in the picture,6,14,8,95
689,1136,death on the nile,11,5,8,71
690,1139,sherwood,11,5,8,71
691,1140,midsomer murders,11,5,8,71
692,1142,riverdale,11,5,8,71
693,1145,bones,2,14,1,11
694,1146,castle,2,14,1,11
695,1159,endeavour,11,5,8,71
696,1165,grantchester,11,5,8,71
697,1184,silent witness,11,5,8,71
698,1194,blonde,0,5,8,57
699,1196,perry mason,11,5,8,71
700,1201,"murder, she wrote",11,5,8,71
701,1206,psych,2,14,8,245
702,1208,chip 'n dale: rescue rangers,4,1,0,30
703,1216,murdoch mysteries,11,5,8,71
704,1217,monk,2,14,1,11
705,1218,the brokenwood mysteries,11,5,8,71
706,1224,apocalypse now,3,0,2,285
707,1234,desperate housewives,2,5,8,72
708,1243,csi: vegas,11,5,8,71
709,1249,big little lies,11,5,8,71
710,1252,the good wife,11,5,8,71
711,1253,the wilds,1,5,8,301
712,1257,vera,11,5,8,71
713,1259,mare of easttown,11,5,8,71
714,1263,russian doll,2,5,8,72
715,1279,dexter: new blood,11,5,8,71
716,1281,primal fear,11,5,8,71
717,1283,nine perfect strangers,3,0,7,124
718,1287,white collar,2,14,1,11
719,1288,make up,3,0,7,124
720,1290,designated survivor,10,5,8,69
721,1291,elementary,11,5,8,71
